data;fazenda;almoco;janta;cafe;lanche;vlrAlmoco;vlrJanta;vlrCafe;vlrLanche;total
01/01/2021;Santa Elisa;7;7;7;0;13,5;13,5;6;6;231
01/01/2021;Silo;2;2;2;0;13,5;13,5;6;6;66
02/01/2021;Santa Elisa;49;21;80;0;13,5;13,5;6;6;1425
02/01/2021;Silo;4;2;2;0;13,5;13,5;6;6;93
03/01/2021;Santa Elisa;35;35;30;0;13,5;13,5;6;6;1125
03/01/2021;Silo;6;2;2;0;13,5;13,5;6;6;120
04/01/2021;Santa Elisa;93;54;91;10;13,5;13,5;6;6;2590,5
04/01/2021;Silo;30;6;41;0;13,5;13,5;6;6;732
05/01/2021;Santa Elisa;126;69;97;10;13,5;13,5;6;6;3274,5
05/01/2021;Silo;37;8;37;0;13,5;13,5;6;6;829,5
06/01/2021;Santa Elisa;146;83;107;10;13,5;13,5;6;6;3793,5
06/01/2021;Silo;36;9;39;0;13,5;13,5;6;6;841,5
07/01/2021;Santa Elisa;153;81;117;16;13,5;13,5;6;6;3957
07/01/2021;Silo;34;8;41;0;13,5;13,5;6;6;813
08/01/2021;Santa Elisa;145;75;106;16;13,5;13,5;6;6;3702
08/01/2021;Silo;40;8;41;0;13,5;13,5;6;6;894
09/01/2021;Santa Elisa;105;26;99;16;13,5;13,5;6;6;2458,5
09/01/2021;Silo;27;5;34;0;13,5;13,5;6;6;636
10/01/2021;Santa Elisa;40;40;45;4;13,5;13,5;6;6;1374
10/01/2021;Silo;2;2;4;0;13,5;13,5;6;6;78
11/01/2021;Santa Elisa;121;68;98;14;13,5;13,5;6;6;3223,5
11/01/2021;Silo;38;7;40;0;13,5;13,5;6;6;847,5
12/01/2021;Santa Elisa;120;72;108;14;13,5;13,5;6;6;3324
12/01/2021;Silo;35;7;40;0;13,5;13,5;6;6;807
13/01/2021;Santa Elisa;132;78;115;14;13,5;13,5;6;6;3609
13/01/2021;Silo;41;6;40;0;13,5;13,5;6;6;874,5
14/01/2021;Santa Elisa;130;73;121;16;13,5;13,5;6;6;3562,5
14/01/2021;Silo;47;11;42;0;13,5;13,5;6;6;1035
15/01/2021;Santa Elisa;117;70;119;20;13,5;13,5;6;6;3358,5
15/01/2021;Silo;44;9;42;0;13,5;13,5;6;6;967,5
16/01/2021;Santa Elisa;102;48;114;18;13,5;13,5;6;6;2817
16/01/2021;Silo;25;9;34;0;13,5;13,5;6;6;663
17/01/2021;Santa Elisa;51;48;57;0;13,5;13,5;6;6;1678,5
17/01/2021;Silo;3;1;10;0;13,5;13,5;6;6;114
18/01/2021;Santa Elisa;105;62;114;2;13,5;13,5;6;6;2950,5
18/01/2021;Silo;34;15;40;0;13,5;13,5;6;6;901,5
19/01/2021;Santa Elisa;125;74;121;2;13,5;13,5;6;6;3424,5
19/01/2021;Silo;44;16;38;0;13,5;13,5;6;6;1038
20/01/2021;Santa Elisa;124;75;119;2;13,5;13,5;6;6;3412,5
20/01/2021;Silo;57;20;50;0;13,5;13,5;6;6;1339,5
21/01/2021;Santa Elisa;125;62;114;2;13,5;13,5;6;6;3220,5
21/01/2021;Silo;62;25;55;0;13,5;13,5;6;6;1504,5
22/01/2021;Santa Elisa;98;61;115;2;13,5;13,5;6;6;2848,5
22/01/2021;Silo;69;25;55;0;13,5;13,5;6;6;1599
23/01/2021;Santa Elisa;104;62;114;0;13,5;13,5;6;6;2925
23/01/2021;Silo;34;15;27;0;13,5;13,5;6;6;823,5
24/01/2021;Santa Elisa;46;44;45;0;13,5;13,5;6;6;1485
24/01/2021;Silo;33;15;26;0;13,5;13,5;6;6;804
25/01/2021;Santa Elisa;111;73;95;6;13,5;13,5;6;6;3090
25/01/2021;Silo;52;25;54;0;13,5;13,5;6;6;1363,5
26/01/2021;Santa Elisa;169;84;135;12;13,5;13,5;6;6;4297,5
26/01/2021;Silo;38;12;47;0;13,5;13,5;6;6;957
27/01/2021;Santa Elisa;164;91;135;7;13,5;13,5;6;6;4294,5
27/01/2021;Silo;42;10;35;0;13,5;13,5;6;6;912
28/01/2021;Santa Elisa;152;90;134;7;13,5;13,5;6;6;4113
